index,ppg_in,ppg_filt,valid_pre,peak_pulse,time_counter,interval_valid,bpm_value,bpm_valid
289,-52,-218,1,0,12,0,78,0
290,-77,-218,0,0,13,0,78,0
291,-31,-180,1,0,13,0,78,0
292,-35,-180,0,0,14,0,78,0
293,-26,-137,1,0,14,0,78,0
294,-13,-137,0,0,15,0,78,0
295,-69,-106,1,0,15,0,78,0
296,-13,-106,0,0,16,0,78,0
297,11,-106,1,0,16,0,78,0
298,33,-106,0,0,17,0,78,0
299,153,-94,1,0,17,0,78,0
300,211,-94,0,0,18,0,78,0
301,243,-42,1,0,18,0,78,0
302,203,-42,0,0,19,0,78,0
303,233,1,1,0,19,0,78,0
304,179,1,0,0,20,0,78,0
305,140,36,1,0,20,0,78,0
306,77,36,0,0,21,0,78,0
307,50,42,1,0,21,0,78,0
308,-17,42,0,0,22,0,78,0
309,-10,35,1,0,22,0,78,0
310,-42,35,0,1,23,0,78,0
311,-73,32,1,0,23,0,78,0
312,-9,32,0,0,23,1,78,0
313,-36,19,1,0,23,1,65,1
314,-92,1,1,0,0,0,65,1
315,-82,-30,1,0,0,0,65,0
316,-153,-30,0,0,0,0,65,0
317,-130,-43,1,0,0,0,65,0
318,-186,-43,0,0,0,0,65,0
319,-261,-42,1,0,0,0,65,0
320,-304,-42,0,0,0,0,65,0
321,-356,-67,1,0,0,0,65,0
322,-338,-67,0,0,0,0,65,0
323,-374,-99,1,0,0,0,65,0
324,-385,-99,0,0,0,0,65,0
325,-336,-129,1,0,0,0,65,0
326,-329,-129,0,0,0,0,65,0
327,-247,-125,1,0,0,0,65,0
328,-184,-125,0,0,0,0,65,0
329,-117,-90,1,0,0,0,65,0
330,-192,-90,0,0,0,0,65,0
331,-100,-44,1,0,0,0,65,0
332,-58,-44,0,0,0,0,65,0
333,-105,17,1,0,0,0,65,0
334,-99,17,0,0,0,0,65,0
335,-77,35,1,0,0,0,65,0
336,-96,35,0,0,0,0,65,0
337,-22,53,1,0,0,0,65,0
338,-34,53,0,0,0,0,65,0
339,51,89,1,0,0,0,65,0
340,110,89,0,0,0,0,65,0
341,131,138,1,0,0,0,65,0
342,222,138,0,0,0,0,65,0
343,147,171,1,0,0,0,65,0
344,207,171,0,0,0,0,65,0
345,185,159,1,0,0,0,65,0
346,194,159,0,1,0,0,65,0
347,118,141,1,0,0,0,65,0
348,48,141,0,0,1,0,65,0
349,-17,99,1,0,1,0,65,0
350,-92,99,0,0,2,0,65,0
351,-31,49,1,0,2,0,65,0
352,-114,49,0,0,3,0,65,0
353,-74,41,1,0,3,0,65,0
354,-99,41,0,0,4,0,65,0
355,-123,50,1,0,4,0,65,0
356,-132,50,0,0,5,0,65,0
357,-97,46,1,0,5,0,65,0
358,-147,46,0,0,6,0,65,0
359,-227,55,1,0,6,0,65,0
360,-257,55,0,0,7,0,65,0
361,-299,30,1,0,7,0,65,0
362,-294,30,0,0,8,0,65,0
363,-408,0,1,0,8,0,65,0
364,-393,0,0,0,9,0,65,0
365,-424,-59,1,0,9,0,65,0
